"cbsa_code","cbsatitle","metrosize","posts_jan20","posts_feb20","posts_mar20","posts_apr20","posts_may20","posts_jun20","posts_jul20","posts_aug20","posts_sep20","posts_oct20","posts_nov20","posts_dec20","posts_jan21","posts_feb21","posts_mar21","posts_apr21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"27260","Jacksonville, FL","Very Large",59157,50185,46298,37250,39523,40796,43569,46678,45727,46724,43543,45752,45024,46105,53708,55427,10.4453521968716,3.2006405004841,148,64,40,13
"28020","Kalamazoo-Portage, MI","Midsized",11274,10098,10207,8664,8890,8379,8605,9197,9183,9611,9088,9635,8895,9418,10572,10038,-0.5941770647653,-5.05107832009081,180,165,74,66
"28140","Kansas City, MO-KS","Very Large",114954,100869,101414,84925,84925,85478,92268,100680,99800,102869,100770,109927,104663,107128,118451,117454,16.4421179946267,-0.841698254974631,122,128,31,39
"28420","Kennewick-Richland, WA","Midsized",9012,8634,9564,8777,8914,7559,8294,8907,8673,9091,8749,9531,8833,9233,10477,11647,34.8969191568219,11.1673188889949,57,12,25,5
"28660","Killeen-Temple, TX","Midsized",13131,11788,11882,10356,10730,9982,10406,11021,11633,13124,12799,13933,13123,13102,17519,17364,47.3023413640991,-0.884753695987214,24,129,11,52
"28700","Kingsport-Bristol, TN-VA","Midsized",8996,8347,8514,8083,8729,8174,8849,9464,9249,9816,9518,10319,10411,11118,11959,12327,47.6818018449742,3.07718036625136,23,66,10,32
"28940","Knoxville, TN","Large",30281,26073,26700,23691,25371,24532,25995,27931,29071,30896,31032,33648,33119,33659,36988,37237,42.8182410923177,0.673191305288202,35,111,14,36
"29180","Lafayette, LA","Midsized",13849,12999,13319,11364,11675,11575,12062,12287,12636,13545,13603,14615,13234,13208,14813,14202,9.25455804292638,-4.12475528252211,157,159,67,63
"29460","Lakeland-Winter Haven, FL","Large",14445,12099,12792,10723,11788,11155,12328,12823,12671,13781,14038,15368,13848,14165,9231,17130,41.5819489213985,85.5703607409815,39,6,16,3
"29540","Lancaster, PA","Large",17908,15050,16109,14999,15553,15191,16685,18390,18156,19342,20583,21838,20345,22276,13434,27018,79.5215946843854,101.116569897276,1,4,1,2
"29620","Lansing-East Lansing, MI","Large",22404,20283,20054,17164,17593,17068,17429,18380,18044,19047,19029,20987,18864,20481,24380,22568,11.2655918749692,-7.43232157506153,145,180,45,55
"29700","Laredo, TX","Midsized",6034,6112,5859,3709,3490,3315,3655,3788,3821,4320,4025,4312,4052,3972,4617,5053,-17.3265706806283,9.44336149014512,191,15,82,7
"29820","Las Vegas-Henderson-Paradise, NV","Very Large",68707,62020,55587,42373,42183,40441,43049,44518,44210,50901,47941,58227,59012,53462,61766,70650,13.9148661722025,14.3833176828676,132,9,34,2
"30460","Lexington-Fayette, KY","Large",25790,22667,22051,16067,16550,17195,18322,19525,20124,21409,23698,24145,23180,22938,24671,23245,2.54996250055146,-5.78006566414008,176,170,54,52
"30700","Lincoln, NE","Midsized",15156,13036,13411,10037,10106,9781,10493,11183,10636,11305,11118,13672,11984,11951,12870,11605,-10.9772936483584,-9.82905982905983,188,189,80,80
"30780","Little Rock-North Little Rock-Conway, AR","Large",29148,24930,26236,21512,22091,21803,23114,25856,26260,28574,31798,36516,30996,30107,33976,32856,31.7930204572804,-3.29644454909348,69,154,26,43
"30980","Longview, TX","Midsized",8518,8323,8431,7395,7979,7117,7494,8168,7385,8249,7711,8737,8066,8224,9118,8088,-2.82350114141535,-11.2963369159903,184,190,78,81
"31080","Los Angeles-Long Beach-Anaheim, CA","Very Large",418134,361163,356777,276789,269244,270696,280346,298603,288547,323429,317283,347158,322942,330820,371697,384444,6.44611989600264,3.42940620989677,170,60,49,11
"31140","Louisville/Jefferson County, KY-IN","Very Large",53212,45801,43415,33399,35651,37796,40408,44633,42960,45070,46051,49160,45543,46894,51363,50449,10.1482500382088,-1.77949107334073,153,138,43,43
"31180","Lubbock, TX","Midsized",10912,10580,10594,7877,7736,7519,7866,8571,8642,10102,9750,10348,10453,10199,11923,11762,11.17202268431,-1.35033129245995,146,135,63,54
"31340","Lynchburg, VA","Midsized",9015,8327,8526,7549,8047,7486,8162,8371,8248,8744,8662,9227,9556,10398,11801,11175,34.2019935150715,-5.30463520040675,58,166,26,67
"31540","Madison, WI","Large",44600,38806,35995,28186,27595,26109,28629,30605,31309,35864,36633,39437,37371,38581,43835,46844,20.7132917590063,6.86437778031254,109,23,36,8
"31700","Manchester-Nashua, NH","Midsized",20937,17770,18680,16422,17041,17647,18552,19938,20569,22354,23655,25561,24511,23517,27532,28711,61.5700619020822,4.28228969925904,8,47,2,23
"32580","McAllen-Edinburg-Mission, TX","Large",14073,12789,13592,11463,11512,9796,10378,10630,9949,11410,10813,11338,10678,11621,13847,14390,12.5185706466495,3.9214270239041,138,52,43,16
"32820","Memphis, TN-MS-AR","Very Large",53530,45496,44380,38237,38953,37692,41522,45860,44674,46796,46727,49854,47886,47896,54140,54519,19.8325127483735,0.700036941263391,113,109,28,31
"32900","Merced, CA","Midsized",5643,5231,5455,4806,4877,4280,4483,4755,4658,4646,4621,4992,4438,4767,4988,5301,1.33817625692984,6.27506014434643,178,27,72,16
"33100","Miami-Fort Lauderdale-West Palm Beach, FL","Very Large",187357,163754,156323,114608,111109,114708,120342,131272,129275,138466,133700,147197,144697,148172,168568,169708,3.63594171745423,0.676284941388638,175,110,52,32
"33340","Milwaukee-Waukesha, WI","Very Large",77630,66571,62660,52113,50429,49879,53431,64646,56330,63291,60766,73126,69213,68987,81664,84127,26.3718435955596,3.01601684952978,91,68,23,14
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","Very Large",200304,175351,164336,130797,130183,129502,139484,161915,154473,167936,165700,185698,170435,174613,189522,191517,9.21922315812285,1.05264824136512,158,101,44,28
