cbsa,cbsatitle,metrosize,Q12019,Q22019,Q32019,Q42019,Q12020,Q22020,chg_imp,chg_traj,rank_imp,rank_traj,szrank_imp,szrank_traj
46520,"Urban Honolulu, HI",Large,0.03,0.032,0.034,0.038,0.039,0.04,0.8,0.1,156,99,47,37
46540,"Utica-Rome, NY",Midsized,0.024,0.027,0.028,0.028,0.035,0.036,0.9,0.1,158,70,60,27
46700,"Vallejo, CA ",Midsized,0.045,0.052,0.05,0.046,0.049,0.049,-0.3,0,16,65,7,26
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Very Large,0.051,0.049,0.048,0.05,0.054,0.055,0.6,0.1,137,99,46,23
47300,"Visalia, CA ",Midsized,0.041,0.039,0.036,0.037,0.032,0.037,-0.2,0.5,22,172,10,69
47380,"Waco, TX",Midsized,0.048,0.053,0.05,0.05,0.057,0.062,0.9,0.5,162,172,63,69
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Very Large,0.04,0.041,0.041,0.04,0.04,0.042,0.1,0.2,64,124,15,32
48620,"Wichita, KS",Large,0.053,0.047,0.044,0.04,0.045,0.047,0,0.2,48,124,17,42
48900,"Wilmington, NC",Midsized,0.019,0.019,0.019,0.019,0.019,0.02,0.1,0.1,64,99,28,39
49180,"Winston-Salem, NC",Large,0.036,0.034,0.033,0.031,0.033,0.038,0.4,0.5,100,172,28,51
49340,"Worcester, MA-CT",Large,0.04,0.04,0.041,0.041,0.041,0.041,0.1,0,64,65,21,28
49420,"Yakima, WA",Midsized,0.026,0.03,0.029,0.029,0.031,0.03,0,-0.1,48,34,22,16
49620,"York-Hanover, PA",Midsized,0.064,0.065,0.065,0.065,0.069,0.081,1.6,1.2,185,190,76,81
49660,"Youngstown-Warren-Boardman, OH-PA",Large,0.037,0.037,0.045,0.043,0.042,0.042,0.5,0,125,65,37,28
