cbsa_code,cbsatitle,topmetro,metrosize,price1_2019,price2_2019,price3_2019,price4_2019,price5_2019,price6_2019,price7_2019,price8_2019,price9_2019,price1_2020,price2_2020,price3_2020,price4_2020,price5_2020,price6_2020,price7_2020,price8_2020,price9_2020,price10_2020,chg_imp,chg_traj,rank_imp,rank_traj,szrank_imp,szrank_traj
19340,"Davenport-Moline-Rock Island, IA-IL ",1,Midsized,149000,148500,145050,145050,148500,154950,154950,154950,154950,149950,149950,149950,154500,159950,166800,166750,159950,164250,153950,2.5999999,-6.27,168,183,67,79
19430,"Dayton-Kettering, OH",1,Large,146290,146300,151330,154950,158400,164950,173045,172864.28,169950,161950,169450,184995,188495,194950,201950,198500,199550,208400,199950,17.65,-4.0500002,23,174,13,53
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1,Large,289050,289950,292092.84,294995,295050,290050,288500,283160,282080,288300,291050,290450,285677,289050,290000,291495,290050,296050,299050,5.3699999,1.01,145,41,48,12
19740,"Denver-Aurora-Lakewood, CO",1,Very Large,492321,499800,516421.44,523971.44,517575,517756,500050,499592.84,497050,532500,559550,560045,547021.5,549050,545550,544300,539550,522050,519950,5.0300002,-.40000001,149,96,41,29
19780,"Des Moines-West Des Moines, IA",1,Large,286550,289950,292007.16,292257.16,289250,285950,280045,276658.56,270425,263950,269550,271300,269800,275050,280650,277916,275050,274250,272050,3.7,-.80000001,161,109,53,31
19820,"Detroit-Warren-Dearborn, MI",1,Very Large,219500,220050,236007.14,254250,261000,265050,262295,253187.14,242000,228500,229050,239950,245000,252050,274950,280000,279050,272950,269050,12.36,-1.4299999,58,125,13,37
20260,"Duluth, MN-WI ",1,Midsized,181000,179550,196621.42,220050,221800,215050,212500,195721.42,193171.42,199500,215050,233750,235050,230950,239050,235050,235050,227000,224950,13.9,-.89999998,45,113,17,50
20500,"Durham-Chapel Hill, NC",1,Large,369500,384550,400758.56,413213.56,404550,403050,400050,394764.28,389050,399550,415950,425050,399950,419050,429341,437245,440050,434000,439050,15.86,1.16,32,36,16,10
21340,"El Paso, TX",1,Large,183975,185025,187171.42,190000,192050,192050,191926,193207.14,193482.14,195275,194000,196025,194300,202000,211050,217775,215500,215494,226000,18.16,4.8800001,18,2,9,1
21500,"Erie, PA",1,Midsized,135000,139950,146478.58,155050,162250,166950,166500,157664.28,147915,136300,139550,142499.5,147049.5,159950,169000,165049.5,165049,158450,144950,-.38,-8.5200005,185,188,78,80
21660,"Eugene-Springfield, OR",1,Midsized,370050,384900,390864.28,379500,382300,382290,399050,392192.84,385942.84,404950,400050,400000,399500,419050,430000,426300,425050,434050,424550,8.8599997,-2.1900001,94,143,36,60
21780,"Evansville, IN-KY",1,Midsized,154950,153800,168092.86,177592.86,177950,179950,175050,167292.86,164999.5,138750,149050,172300,179888.5,189050,187250,189500,185050,178750,178050,14.91,-.38999999,39,95,14,39
22180,"Fayetteville, NC ",1,Large,164300,170000,181050,186177.5,179050,185050,185177.5,181364.28,179864.28,197233,189050,190047.5,191000,199750,212550,219800,224756,219500,211990,17.74,-3.4200001,22,166,12,49
22220,"Fayetteville-Springdale-Rogers, AR",1,Large,269500,272500,284478.56,296050,299600,290050,290902.5,286335.72,281050,280950,285050,289550,284200,290050,303050,299950,309050,304500,297950,6.4299998,-2.1500001,134,142,45,42
22420,"Flint, MI ",1,Midsized,149450,155800,165478.58,174550,189950,187540,189745,187850,182500,177500,175050,187040,191995,199950,208950,214950,219750,214500,210050,19.309999,-2.0699999,14,139,7,58
22660,"Fort Collins, CO",1,Midsized,447250,447050,450632.72,455229,460000,445695,439050,437083.72,435000,449982.5,450050,453257.5,452283,459950,468800,464825,464950,464145,475050,10.13,2.3499999,77,18,28,9
22900,"Fort Smith, AR-OK ",1,Midsized,150000,155050,159064.28,163364.28,164550,169050,167050,163764.28,161050,165050,165050,171950,176300,179950,188550,199000,198950,196500,199950,22.07,1.76,8,25,3,13
23060,"Fort Wayne, IN",1,Midsized,182450,198950,214992.86,235000,232450,228950,227450,209564.28,193950,199950,225050,246500,235188,237950,236400,234950,233050,220900,214950,8.5600004,-2.6900001,99,155,38,66
23420,"Fresno, CA",1,Large,300000,299950,306478.56,315050,325000,339050,340050,335332.84,329975,330025,325050,334025,329800,338050,345050,352044,350050,350050,350050,7.0300002,0,123,72,42,22
23540,"Gainesville, FL ",1,Midsized,252450,256050,259331.42,266045,274300,270050,273500,273188.56,270545,275545,275040,285050,286050,294050,295050,289000,281540,284290,285950,6.6799998,.57999998,128,52,49,24
24340,"Grand Rapids-Kentwood, MI",1,Very Large,279310,285000,290092.84,297500,297420,294950,295000,290664.28,282450,297950,300050,305750,310050,315950,315450,315000,309950,305000,299050,8.7299995,-1.95,95,136,26,39
24540,"Greeley, CO",1,Midsized,419500,415050,426435.72,431435.72,432498.5,425050,414300,405764.28,400000,436825,435568,451807.5,436300,437650,436700,444302.5,439950,432412.5,440040,7.46,1.76,119,25,46,13
24580,"Green Bay, WI ",1,Midsized,244500,250000,258578.58,271450,274950,269950,268950,261421.42,250000,276000,277950,285450,280000,289950,290000,294950,279950,264950,269950,7.98,1.89,106,21,42,11
24660,"Greensboro-High Point, NC",1,Large,244515,250050,263227.16,269000,275050,268950,269950,266557.28,263765.78,267045,264982,269950,259950,284550,292330,298200,299950,297500,279950,5.8400002,-5.9000001,142,182,46,54
24860,"Greenville-Anderson, SC",1,Large,263950,264950,275692.84,284750,285000,281600,278550,277292.84,272450,268700,275050,276182.5,279262.5,284550,289950,286750,289040,286666,282380,4.5900002,-1.5,153,128,50,38
25060,"Gulfport-Biloxi, MS",1,Midsized,192500,195550,197050,199300,206785,205235,208435,209478.58,209978.58,199950,202950,211050,212000,217550,226290,235050,241050,246940,249050,21.299999,.85000002,10,46,4,21
25180,"Hagerstown-Martinsburg, MD-WV",1,Midsized,229950,231545,234345.72,234345.72,235050,237050,231245,234287.14,237742.14,240000,245050,249050,248800,249950,249750,249995,259950,259995,258040,7.54,-.75,116,104,44,45
